[2018-09-06 11:06:40] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"894dec0c-5ff2-4ae6-b3a7-bb76b0d225f4"}}'
[2018-09-06 11:06:40] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:40] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element/894dec0c-5ff2-4ae6-b3a7-bb76b0d225f4/value {"text": "a123", "value": ["a", "1", "2", "3"], "id": "894dec0c-5ff2-4ae6-b3a7-bb76b0d225f4"}
[2018-09-06 11:06:40] remote_connection.py [line:543] [DEBUG]  b'{"value": {}}'
[2018-09-06 11:06:40] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:40] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element {"using": "xpath", "value": "//input[@id='password']"}
[2018-09-06 11:06:40] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"142135f5-3c45-44b4-a2d8-d70516cd74e8"}}'
[2018-09-06 11:06:40] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:40] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element/142135f5-3c45-44b4-a2d8-d70516cd74e8/clear {"id": "142135f5-3c45-44b4-a2d8-d70516cd74e8"}
[2018-09-06 11:06:40] remote_connection.py [line:543] [DEBUG]  b'{"value": {}}'
[2018-09-06 11:06:40] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:40] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element {"using": "xpath", "value": "//input[@id='password']"}
[2018-09-06 11:06:40] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"142135f5-3c45-44b4-a2d8-d70516cd74e8"}}'
[2018-09-06 11:06:40] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:40] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element/142135f5-3c45-44b4-a2d8-d70516cd74e8/value {"text": "123hualongdata", "value": ["1", "2", "3", "h", "u", "a", "l", "o", "n", "g", "d", "a", "t", "a"], "id": "142135f5-3c45-44b4-a2d8-d70516cd74e8"}
[2018-09-06 11:06:40] remote_connection.py [line:543] [DEBUG]  b'{"value": {}}'
[2018-09-06 11:06:40] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:40] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element {"using": "xpath", "value": "//input[@id='loginBtn']"}
[2018-09-06 11:06:40] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"9026939f-2f1b-4191-b2a9-8be2051443e2"}}'
[2018-09-06 11:06:40] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:40] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element/9026939f-2f1b-4191-b2a9-8be2051443e2/click {"id": "9026939f-2f1b-4191-b2a9-8be2051443e2"}
[2018-09-06 11:06:42] remote_connection.py [line:543] [DEBUG]  b'{"value": {}}'
[2018-09-06 11:06:42] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:42] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element {"using": "xpath", "value": "//div[@id='outsideAlert-zhaopin']"}
[2018-09-06 11:06:42] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"df2cb590-865a-4150-bb4a-dbef6f56855c"}}'
[2018-09-06 11:06:42] remote_connection.py [line:574] [DEBUG]  Finished Request
